NAME OF THE SACCO, FINANCIAL INVESTMENT  , CASH & CASH EQUIVALENT , GROSS LOAN , TOTAL ASSETS , TOTAL EXPENSE , CORE CAPITAL , TOTAL DEPOSIT , LIQUID ASSET , Net Income , TOTAL REVENUE , NPL 
NUFAIKA ," 4,550,069.00 "," 25,879,788.06 "," 84,640,250.50 "," 126,496,968.05 "," 6,152,317.92 "," 20,299,862.90 "," 101,647,036.12 "," 25,879,788.06 "," 9,145,035.14 "," 19,225,781.46 "," 4,371,397.02 "
NYAMBENE ARIMI," 4,350,660.35 "," 20,984,027.10 "," 121,141,032.63 "," 159,424,185.15 "," 31,151,888.95 "," 53,358,586.99 "," 99,925,264.26 "," 20,984,027.10 "," 9,258,827.63 "," 44,703,959.62 "," 35,906,828.85 "
NYAMIRA TEA FARMERS," 29,866,032.00 "," 46,110,378.73 "," 154,005,291.51 "," 340,898,051.69 "," 29,170,042.43 "," 74,081,574.26 "," 127,153,990.99 "," 75,976,410.73 ","-3,665,400.68 "," 46,492,543.80 "," 20,169,321.74 "
OLLIN," 26,313,210.00 "," 301,505,881.93 "," 2,303,732,043.74 "," 2,624,647,926.07 "," 123,430,082.90 "," 371,433,289.09 "," 1,932,917,518.24 "," 301,505,881.93 "," 29,776,440.11 "," 421,035,171.80 "," 92,881,814.55 "
ORIENT," 14,898,969.00 "," 19,595,831.00 "," 640,700,840.00 "," 680,767,833.00 "," 34,891,733.00 "," 97,350,817.00 "," 400,968,241.00 "," 30,458,950.00 "," 47,805,666.00 "," 113,725,409.00 "," 26,388,790.00 "
PATNAS ," 35,463,780.00 "," 66,477,375.71 "," 105,894,421.00 "," 386,152,980.42 "," 46,966,308.02 "," 49,865,484.90 "," 148,858,935.18 "," 82,837,815.71 "," 3,991,315.77 "," 75,757,597.98 "," 17,019,127.35 "
PRIME-TIME," 56,652,505.43 "," 57,414,317.52 "," 421,267,159.59 "," 569,990,431.44 "," 19,693,914.40 "," 58,438,054.33 "," 455,547,931.30 "," 107,547,428.95 "," 1,179,486.76 "," 55,114,594.14 "," 26,191,860.44 "
PUAN ," 7,426,600.00 "," 22,036,627.00 "," 159,123,581.00 "," 241,926,969.00 "," 11,051,190.00 "," 29,276,912.00 "," 162,518,780.00 "," 22,036,627.00 "," 860,523.00 "," 21,176,791.00 "," 5,092,398.00 "
QWETU," 110,515,438.28 "," 116,036,930.72 "," 800,653,993.22 "," 1,064,385,144.89 "," 128,863,818.62 "," 135,012,215.53 "," 786,985,150.58 "," 226,552,369.00 "," 12,231,497.96 "," 217,973,901.40 "," 53,910,207.10 "
SAFARICOM," 55,221,406.00 "," 135,702,937.00 "," 2,808,179,190.00 "," 3,241,446,880.00 "," 63,252,712.70 "," 299,615,833.00 "," 2,521,502,108.00 "," 151,886,999.00 "," 24,784,943.04 "," 333,172,069.00 "," 52,256,526.00 "
SHERIA," 14,322,719.03 "," 76,666,658.85 "," 3,479,702,537.90 "," 4,099,710,725.99 "," 133,163,718.80 "," 642,568,128.57 "," 2,998,483,034.42 "," 90,989,377.88 "," 364,664,647.55 "," 526,857,702.27 "," 68,006,520.33 "
SHOPPERS," 30,394,977.00 "," 156,605,856.00 "," 1,598,452,860.00 "," 1,911,057,448.00 "," 142,805,482.54 "," 337,939,189.00 "," 1,423,202,182.00 "," 156,605,856.00 "," 62,228,176.60 "," 290,743,069.42 "," 178,036,440.01 "
SIMBA CHAI," 8,857,792.80 "," 15,478,618.85 "," 813,819,777.61 "," 930,787,325.51 "," 24,534,705.53 "," 151,893,466.50 "," 617,933,041.90 "," 15,478,618.85 "," 36,710,246.23 "," 153,135,329.16 "," 6,040,463.00 "
SIRAJI," 1,463,566.00 "," 23,983,087.78 "," 177,096,397.80 "," 237,834,210.15 "," 25,948,870.54 "," 44,468,341.62 "," 169,399,351.65 "," 23,983,087.78 "," 3,279,986.22 "," 46,198,757.20 "," 5,981,360.48 "
SKYLINE," 7,698,802.00 "," 95,056,738.72 "," 531,376,388.90 "," 776,861,297.03 "," 71,405,997.87 "," 136,818,361.07 "," 602,250,896.54 "," 95,056,738.72 "," 69,664,528.48 "," 139,371,640.91 "," 35,558,769.07 "
SMART CHAMPION," 9,818,912.82 "," 24,731,849.23 "," 127,701,618.54 "," 164,744,804.26 "," 10,029,919.49 "," 13,413,638.99 "," 80,817,159.45 "," 24,731,849.23 "," 492,955.22 "," 28,962,411.88 "," 17,561,518.86 "
SMARTLIFE DT," 17,000,000.00 "," 130,107,676.00 "," 678,090,733.00 "," 871,563,594.00 "," 25,351,401.00 "," 95,818,210.00 "," 536,771,832.00 "," 130,107,676.00 "," 9,827,120.00 "," 76,162,726.00 "," 13,561,813.00 "
SOLUTION," 215,060,216.07 "," 496,787,631.90 "," 2,139,019,691.48 "," 2,946,598,134.41 "," 154,217,886.68 "," 188,213,156.94 "," 1,906,252,547.07 "," 566,498,347.97 "," 201,333,776.29 "," 447,392,273.93 "," 59,599,881.86 "
