NAME OF THE SACCO, FINANCIAL INVESTMENT  ,CASH & CASH EQUIVALENT,GROSS LOAN,TOTAL EXPENSE,CORE CAPITAL,TOTAL DEPOSIT,LIQUID ASSET,Net Income,TOTAL REVENUE, NPL 
TRANS NATIONAL TIMES," 357,931,241.50 ","165,807,839.27","1,040,330,186.56","175,655,445.90"," 346,153,488.63 ","1,242,000,587.71"," 523,739,080.74 ","33,204,845.33","266,630,751.28"," 30,734,695.35 "
TRANSCOUNTIES," 3,322,320.40 ","84,015,798.50","122,972,157.99","18,575,324.91"," 48,739,000.37 ","144,514,877.95"," 84,015,798.50 ","7,270,515.76","25,805,377.47"," 25,363,826.71 "
TRANS-ELITE COUNTY," 481,851,859.00 ","190,453,862.00","612,502,314.00","45,487,496.00"," 392,956,812.00 ","687,142,307.00"," 670,384,055.00 ","126,510,934.00","180,625,629.00"," 76,222,544.62 "
UCHONGAJI ," 544,417.00 ","12,002,713.11","41,805,719.48","4,467,679.00","-8,434,418.70 ","37,432,734.34"," 12,002,713.11 ","-63,230.89","5,164,258.11"," 14,400,542.09 "
UFANISI DT," 14,805,144.00 ","44,886,538.00","303,613,426.00","26,052,613.00"," 60,473,742.00 ","265,278,474.00"," 58,231,282.00 ","8,892,490.00","59,567,667.00"," 1,595,991.00 "
UKRISTO NA UFANISI," 15,677,952.74 ","246,883,484.33","1,539,244,928.84","95,411,660.69"," 310,358,895.95 ","1,388,885,880.00"," 247,195,771.33 ","64,488,267.99","192,299,928.68"," 235,727,584.00 "
UKULIMA," 222,247,426.70 ","529,580,484.62","11,461,616,516.25","655,372,922.41"," 2,804,804,891.59 ","9,759,192,770.46"," 741,764,621.52 ","978,500,432.77","1,795,495,802.42"," 639,657,151.64 "
UNAITAS," 804,593,226.10 ","2,669,416,952.58","14,511,418,458.01","1,364,709,594.92"," 6,120,270,878.55 ","10,141,285,908.66"," 3,324,362,152.58 ","688,961,290.69","2,581,827,794.22"," 1,217,125,362.71 "
UNI-COUNTY," 3,558,294.95 ","27,148,590.67","53,407,345.08","9,259,392.11"," 22,146,163.34 ","80,264,022.63"," 27,148,590.67 ","6,192,944.01","15,587,283.36"," 391,261.71 "
UNISON," 5,171,180.00 ","614,005,479.35","4,800,402,665.85","259,591,499.61"," 733,852,795.86 ","4,141,888,564.63"," 619,176,659.35 ","165,266,906.64","808,243,291.67"," 106,888,112.58 "
