NAME OF THE SACCO, FINANCIAL INVESTMENT  , CASH & CASH EQUIVALENT , GROSS LOAN , TOTAL ASSETS , TOTAL EXPENSE , CORE CAPITAL , TOTAL DEPOSIT , LIQUID ASSET , Net Income , TOTAL REVENUE , NPL ,
ORIENT," 15,107,542.00 "," 34,418,628.00 "," 124,997,974.00 "," 784,927,995.00 "," 32,801,887.00 ","-8,984,279.00 "," 446,959,170.00 "," 45,490,320.00 ","-74,867,340.00 "," 49,103,697.00 "," 49,437,481.82 ",
PATNAS ," 19,230,840.00 "," 102,501,655.09 "," 55,593,921.00 "," 346,105,181.29 "," 60,038,750.75 "," 51,152,957.34 "," 203,137,828.62 "," 102,629,155.09 "," 5,965,899.23 "," 96,712,171.63 "," 22,740,036.37 ",
PRIME-TIME," 53,944,153.03 "," 48,006,818.35 "," 278,371,731.20 "," 611,109,447.77 "," 21,056,923.36 "," 58,138,532.07 "," 478,682,021.59 "," 93,431,577.38 "," 1,100,212.22 "," 59,698,830.24 "," 8,580,685.33 ",
PUAN ," 7,426,600.00 "," 20,655,642.00 "," 193,270,601.00 "," 259,881,262.00 "," 15,422,584.00 "," 29,056,074.00 "," 177,369,144.00 "," 20,655,642.00 "," 865,003.00 "," 30,108,841.00 "," 5,471,176.00 ",
QWETU," 96,181,998.35 "," 139,597,347.20 "," 1,073,622,365.26 "," 1,306,480,208.55 "," 139,111,350.13 "," 186,706,233.80 "," 949,114,891.69 "," 235,779,345.55 "," 28,214,583.40 "," 251,720,123.69 ", 351.00 ,
RACHUONYO TEACHERS," 6,317,000.00 "," 5,229,376.09 "," 138,445,708.85 "," 154,473,945.94 "," 7,873,562.77 "," 9,633,094.40 "," 102,406,621.93 "," 5,229,376.09 "," 2,471,610.37 "," 16,705,703.69 ", -   ,
SAFARICOM," 53,626,880.00 "," 274,481,945.00 "," 3,584,817,291.00 "," 4,144,965,742.00 "," 73,759,047.00 "," 539,463,007.00 "," 3,296,128,981.00 "," 301,196,981.00 "," 60,032,370.05 "," 448,652,272.00 "," 150,212,166.50 ",
SHERIA," 14,738,416.60 "," 317,940,790.12 "," 3,617,805,641.65 "," 4,469,320,298.69 "," 161,169,943.72 "," 892,190,446.04 "," 3,137,075,839.04 "," 317,940,790.12 "," 359,900,481.76 "," 586,443,439.20 "," 159,071,823.36 ",
SHIRIKA DT," 9,357,213.97 "," 316,364,026.53 "," 1,560,125,021.08 "," 2,026,781,061.85 "," 202,441,160.07 "," 223,559,562.79 "," 1,604,275,903.16 "," 316,364,026.53 "," 31,540,267.19 "," 238,105,423.63 "," 5,114,745.52 ",
SHOPPERS," 38,337,468.00 "," 243,917,242.00 "," 1,772,800,093.00 "," 2,194,420,117.00 "," 195,616,351.07 "," 377,011,678.00 "," 1,607,602,789.00 "," 243,917,242.00 "," 83,895,251.45 "," 363,762,094.48 "," 148,026,120.09 ",
