YEAR,NAME OF THE SACCO, FINANCIAL INVESTMENT  ,CASH & CASH EQUIVALENT,GROSS LOAN,TOTAL EXPENSE,CORE CAPITAL,TOTAL DEPOSIT,LIQUID ASSET,Net Income,TOTAL REVENUE, NPL ,
2014,NDOSHA," 978,300.00 "," 3,372,456.84 "," 115,467,030.75 "," 10,007,826.60 "," 54,831,412.81 "," 94,682,649.79 "," 4,350,756.84 "," 13,372,507.67 "," 25,802,489.02 ",8632786.98,
2014,NEWFORTIS," 660,663,174.00 "," 212,779,345.19 "," 2,922,314,031.08 "," 149,409,459.10 "," 266,260,464.83 "," 2,400,736,472.88 "," 348,807,591.19 ","-429,843,126.16 "," 407,455,751.99 ",3608193.45,
2014,NEXUS," 76,840.00 "," 10,580,907.09 "," 43,949,434.64 "," 3,384,673.40 "," 44,339,171.63 "," 11,802,395.00 "," 10,580,907.09 "," 3,558,918.45 "," 7,028,175.85 ",19684239.96,
2014,NGARISHA ," 33,586,457.85 "," 50,089,439.89 "," 691,286,373.34 "," 116,538,640.36 "," 95,426,760.41 "," 822,983,279.68 "," 54,047,439.89 ",-0.04 ," 224,029,752.65 ",24960419.23,
2014,NITUNZE," 13,484,269.00 ","-5,772,726.53 "," 197,215,397.95 "," 50,908,015.42 "," 148,012,689.80 "," 174,892,065.18 ","-5,772,726.53 ","-1,182,319.41 "," 55,074,649.06 ",53710526,
2014,NRS ," 10,083,553.74 "," 11,384,521.64 "," 262,486,421.48 "," 27,203,485.98 "," 70,473,380.32 "," 236,323,849.37 "," 13,384,521.64 "," 14,100,065.68 "," 42,666,570.66 ",5850717.15,
2014,NSSF," 24,305,800.00 "," 72,877,020.41 "," 816,709,658.66 "," 62,467,825.78 "," 106,874,731.25 "," 704,958,370.63 "," 72,877,020.41 "," 22,301,650.64 "," 170,083,393.85 ",10620909.65,
2014,NUFAIKA ," 414,949.00 "," 15,641,388.26 "," 66,913,890.30 "," 4,677,462.50 "," 15,215,340.94 "," 97,880,922.39 "," 15,641,388.26 "," 2,736,236.40 "," 12,367,999.10 ",4244120,
2014,NYALA VISION, -   ," 87,710,422.85 "," 88,525,822.44 "," 18,893,709.49 "," 44,324,668.05 "," 123,583,636.73 "," 87,710,422.85 "," 11,307,211.19 "," 31,368,515.33 ",7545694.18,
2014,NYAMBENE ARIMI," 3,741,506.00 "," 8,328,482.84 "," 110,867,303.54 "," 29,504,966.91 "," 56,524,639.80 "," 85,522,316.23 "," 8,328,482.84 "," 8,461,178.45 "," 41,877,713.16 ",35794495.18,
2014,NYAMIRA TEA FARMERS," 3,709,937.00 "," 65,441,775.96 "," 172,296,110.95 "," 33,182,841.97 "," 53,827,391.47 "," 129,202,480.16 "," 69,151,712.96 "," 1,206,875.12 "," 54,198,758.60 ",22767177.69,
2014,OGEMBO TEA," 2,586,167.00 "," 8,334,228.26 "," 35,431,237.94 "," 6,286,489.20 "," 35,934,634.04 "," 13,049,824.78 "," 8,334,228.26 ","-4,168,997.68 "," 2,406,737.32 ",138928.95,
2014,OLLIN," 24,263,210.00 "," 246,847,901.39 "," 2,010,271,309.35 "," 82,372,912.90 "," 336,235,403.99 "," 1,666,847,496.15 "," 246,847,901.39 "," 50,509,405.35 "," 377,448,373.73 ",59529856,
2014,ORIENT," 13,889,763.00 "," 51,462,968.00 "," 585,880,035.00 "," 35,275,628.00 "," 65,527,521.00 "," 359,259,624.00 "," 61,316,881.00 "," 37,539,403.00 "," 97,766,164.00 ",19553700,
2014,PATNAS ," 34,154,603.52 "," 29,833,792.62 "," 107,070,963.29 "," 50,061,776.34 "," 52,256,416.65 "," 125,698,102.01 "," 44,885,056.14 "," 8,266,153.91 "," 81,396,738.76 ",14215939.6,
